# Central (curated) KO lists per MAG Map category
# Category	Number of KOs	KOs (comma-separated)
Glycolysis	33	K00016,K00131,K00134,K00149,K00150,K00844,K00845,K00850,K00873,K00918,K00927,K01596,K01610,K01623,K01624,K01689,K01803,K01810,K01834,K06859,K11645,K12406,K12407,K13810,K15633,K15634,K15635,K15916,K16305,K16306,K16370,K21071,K25026
Pentose Phosphate Pathway	10	K00033,K00036,K00615,K00616,K00622,K01057,K01783,K01807,K01808,K07404
Entner-Doudoroff Pathway	5	K00033,K00036,K01057,K01625,K01690
TCA Cycle	31	K00024,K00025,K00026,K00030,K00031,K00161,K00162,K00163,K00164,K00239,K00240,K00241,K00242,K00382,K00627,K00658,K01595,K01637,K01638,K01647,K01648,K01676,K01677,K01678,K01681,K01682,K01902,K01903,K01958,K01959,K01960
CO2 Fixation	26	K00169,K00170,K00171,K00172,K00174,K00175,K00176,K00177,K00194,K00197,K00297,K00855,K00925,K01491,K01601,K01602,K01647,K01938,K14138,K14139,K14140,K14141,K15022,K15038,K15039,K18556
Fermentation	22	K00001,K00004,K00016,K00114,K00121,K00169,K00170,K00171,K00172,K00625,K00634,K00925,K00929,K01034,K01035,K01067,K01512,K01568,K01613,K01659,K03777,K04072
Nitrogen Fixation	23	K00531,K02584,K02585,K02586,K02587,K02588,K02589,K02590,K02591,K02592,K02593,K02594,K02595,K02596,K02597,K02598,K02599,K02600,K02601,K22896,K22897,K22898,K22899
Assimilatory N	17	K00261,K00262,K00263,K00264,K00265,K00266,K00362,K00363,K00366,K00367,K01914,K01915,K02575,K02576,K02577,K02578,K10534
Denitrification	10	K00368,K00370,K00371,K00374,K00376,K02305,K02567,K02568,K04561,K15864
Sulfur Cycle	21	K00380,K00381,K00385,K00390,K00394,K00395,K00956,K00957,K00958,K01738,K11180,K11181,K16950,K16951,K17224,K17225,K17226,K17227,K17228,K17229,K17725
Nitrification	8	K00370,K00371,K10535,K10944,K10945,K10946,K20932,K20935
Methane Metabolism	43	K00148,K00200,K00201,K00202,K00203,K00205,K00319,K00320,K00399,K00401,K00402,K00577,K00578,K00579,K00580,K00581,K00582,K00583,K00584,K00672,K01499,K03388,K03389,K03390,K08685,K10944,K10945,K10946,K13942,K14028,K14029,K14080,K14081,K14082,K14083,K14084,K16157,K16158,K16159,K16160,K16161,K16162,K17066
Amino Acids	57	K00003,K00013,K00053,K00133,K00145,K00261,K00262,K00265,K00266,K00548,K00549,K00600,K00601,K00604,K00605,K00609,K00618,K00620,K00765,K00766,K00811,K00812,K00813,K00817,K00820,K00826,K00831,K00872,K00928,K00930,K01079,K01438,K01501,K01513,K01652,K01653,K01687,K01695,K01696,K01697,K01714,K01733,K01738,K01739,K01755,K01760,K01778,K01814,K01817,K01823,K01915,K01940,K02501,K02502,K04518,K14170,K14172
Nucleotides	22	K00088,K00226,K00525,K00526,K00549,K00602,K00609,K00611,K00764,K00940,K00942,K01465,K01495,K01537,K01756,K01923,K01924,K01944,K01945,K01951,K02844,K13800
Vitamins / Cofactors	57	K00297,K00552,K00568,K00599,K00606,K00652,K00667,K00763,K00788,K00793,K00794,K00796,K00798,K00815,K00833,K00859,K00939,K00941,K00946,K00949,K01012,K01071,K01479,K01492,K01497,K01556,K01580,K01661,K01698,K01737,K01744,K01770,K01772,K01773,K01890,K01935,K02224,K02225,K02226,K02227,K02228,K02229,K02230,K02232,K02548,K02549,K02550,K02551,K02793,K02794,K03148,K03149,K03151,K03183,K03187,K06214,K06215
Fatty Acids	26	K00019,K00022,K00059,K00208,K00232,K00249,K00626,K00632,K00645,K00647,K00648,K00965,K00981,K01448,K01692,K01703,K01704,K01715,K01961,K01962,K01963,K01964,K02517,K07508,K09458,K11533
Cell Wall	40	K00075,K00286,K00640,K00666,K00699,K00748,K00754,K00974,K01067,K01093,K01425,K01448,K01498,K01778,K01914,K01919,K01920,K01921,K02517,K02519,K02526,K02527,K02528,K02535,K02536,K02842,K02843,K02848,K02849,K02850,K03280,K03469,K03587,K03588,K03589,K05363,K06078,K06079,K14327,K14328
